window_end,avg_tick_us,min_tick_us,max_tick_us,ticks_per_sec,fps,resource_field_pct,spatial_grid_pct,behavior_physics_pct,feeding_pct,energy_pct,cooldowns_pct,reproduction_pct,cleanup_pct,telemetry_pct
3093236,2367,506,27332,422.34509648896073,27.0462759347078,82.51567322653071,0.32757085683683795,12.923506545504305,1.3206731167209802,2.5428553569407346,0.11673618466954876,0.1315182630466624,0.06799756053472268,0.034125483796308025
3093835,2304,497,27296,434.0134613615176,26.834351307867372,82.7889357816322,0.32572710275181893,12.745369510380733,1.2831607985153268,2.469232785724082,0.12985682763936607,0.13141927610026752,0.07104800362488042,0.03715155229254591
3094434,2327,491,27457,429.5669192233774,26.99100862025338,82.98300719180936,0.3256976381551647,12.564230993596876,1.2783481949168487,2.4749498051054886,0.12268431213019657,0.1286123356154792,0.06679765593923519,0.03780188889165721
3095033,2331,502,28112,428.855821246032,26.794505754441644,83.13087050012308,0.3050880312344272,12.50848062386514,1.28939791215832,2.391300059267875,0.12110888391987944,0.1274130644921961,0.07114718074471671,0.03585234665616827
3095632,2327,484,27677,429.5757767374407,27.26222487235281,83.28726849087452,0.3138480624843742,12.324357204286478,1.3092180947626981,2.367478020755383,0.11134604133034463,0.12852907239984226,0.0656821362631547,0.07277013657932246
3096231,2361,469,28533,423.3822142212392,26.000617514665972,83.46811000486043,0.2980610788117524,12.273977404937991,1.2467759444387054,2.3538780964058237,0.11494827116106646,0.12714167893063813,0.06295693525469827,0.03509838555894073
3096830,2365,497,28566,422.6712399694831,26.91325234382132,83.47313184595325,0.2956162652346565,12.238318951944393,1.2966285628543834,2.3410914639429734,0.11450163890773299,0.12595602951090595,0.06145639829156285,0.03292608959362274
3097429,2295,489,27325,435.64461680481685,27.74264941858065,83.51207105886473,0.29771953112441185,12.206282953792483,1.3089813801134331,2.330960086675853,0.09958835940158113,0.12594485871827255,0.06029321496578666,0.039251579974114
3098028,2308,479,27206,433.17233761451996,27.381349834283963,83.44714214550258,0.29663641679842323,12.22975460787074,1.3537068722791363,2.316302440926122,0.11751965519481926,0.12332416451885382,0.06012432046089537,0.037209503801087264
3098627,2267,473,27113,440.99916298358863,23.214917906246555,83.9573765488993,0.30609751902690885,11.756332086481699,1.285027461017879,2.3455863480771115,0.10332610388705482,0.12568476145032279,0.06112248398952539,0.038411027095870576
3099226,2268,474,27129,440.8685109666042,23.007370203978514,83.82162460046291,0.3077703075057864,11.884051581615783,1.2949630772622065,2.331973988757853,0.1123773834453874,0.1250743965612256,0.0628237628127411,0.03804695249641794
3099825,2274,455,28225,439.7266659044738,22.6134985626295,83.73741282418848,0.30011344947980334,11.975867800575163,1.282858575109712,2.347964505263528,0.10874440447817638,0.12558593578231772,0.06037447122868425,0.03847608326664145
3100424,2262,456,27138,441.92820346020943,23.083049140603077,84.20256928218927,0.289153623524015,11.602780789027452,1.2606002003702474,2.295772824155442,0.10535568370491394,0.12647985183031196,0.061118670538546964,0.03606134140235309
3101023,2345,469,27535,426.3466906330353,22.648261179747927,81.79653115805567,0.3089308120326974,13.510372375463064,1.3333140056166914,2.5134842799579964,0.18055782348309043,0.2246420712945463,0.0737153428104518,0.040161858257631924
3101622,2477,586,28678,403.630739225481,22.574276084164033,80.15214457084366,0.3230256806021525,14.968807416472654,1.346148878390902,2.7575648473145637,0.18252182027776254,0.1341668577185499,0.08165449854531481,0.03669003419559623
3102221,2488,555,28884,401.8389758892596,21.755447020047644,80.75327930742249,0.3097374826154413,14.475003405585321,1.3281581831091809,2.7322639326614317,0.1365047001095815,0.1324863103506889,0.07976503671401804,0.03495999090236559
3102820,2456,551,28892,407.0847399807286,22.205013336886136,81.0455645878613,0.32896517837842676,14.201680364389693,1.3315334760029651,2.7028798395760454,0.12232896436420895,0.13189545575375605,0.07673547348636735,0.037777463870211615
3103419,2502,554,28645,399.67306743084157,22.524551761419946,81.33530771828644,0.32741217683934537,13.923770355848916,1.3206397167117296,2.6969938590233187,0.133450837215158,0.13233175262635163,0.07361977902076101,0.036969758737352844
3104018,2416,547,27604,413.74938868527823,22.655829628161197,81.65617260300499,0.29587218784884245,13.706027749343999,1.3018210765593594,2.646134215336697,0.12309044313387027,0.13662004814387887,0.07352326636937394,0.03897519241415321
