eval,fitness,prey_base_cost,prey_move_cost,prey_forage_rate,pred_base_cost,pred_move_cost,pred_bite_reward,pred_transfer_eff,pred_digest_time,prey_repro_thresh,pred_repro_thresh,maturity_age,prey_cooldown,pred_cooldown,cooldown_jitter,parent_energy_split,child_energy,spawn_offset,heading_jitter,pred_density_k,newborn_hunt_cooldown,max_prey,max_pred,refugia_strength,part_spawn_rate,part_initial_mass,part_deposit_rate,part_pickup_rate,part_cell_capacity,part_flow_strength,part_flow_scale,part_flow_octaves,part_flow_evolution
68,53.967671,0.024094,0.243539,0.039100,0.002000,0.038943,0.702530,1.000000,0.200000,0.500000,0.620462,15.000000,6.096838,20.000000,3.000000,0.700000,0.406827,5.000000,0.000000,0.000000,0.500000,600.000000,40.000000,1.169020,300.000000,0.034266,5.000000,0.100000,2.000000,100.000000,0.500000,3.352901,0.033856
69,55.289157,0.050000,0.218236,0.100000,0.002000,0.051407,0.800000,0.981512,0.200000,0.500000,0.500000,15.000000,4.000000,20.000000,0.613645,0.521101,0.312591,30.000000,1.000000,0.000000,0.799575,237.366413,196.815403,0.500000,20.000000,0.002000,4.630652,0.451265,0.300000,64.381425,4.606961,1.000000,0.005000
70,55.971486,0.005000,0.050000,0.100000,0.003270,0.010000,0.439158,1.000000,1.595735,0.683896,0.950000,4.976447,4.000000,6.000000,0.000000,0.682346,0.500000,30.000000,0.824537,284.314415,0.500000,600.000000,40.000000,0.500000,20.000000,0.002000,2.997664,0.100000,2.000000,21.552754,0.500000,1.000000,0.005000
71,57.304488,0.005000,0.250000,0.020000,0.020000,0.010000,0.783238,0.600000,0.200000,0.950000,0.558249,15.000000,4.000000,17.654123,0.000000,0.700000,0.449801,5.000000,0.000000,0.000000,1.370307,200.000000,40.000000,0.500000,20.000000,0.002000,0.500000,0.100000,0.300000,18.207140,3.852912,4.000000,0.110944
72,53.719679,0.033082,0.250000,0.026875,0.004059,0.021357,0.755582,0.735711,1.616758,0.500000,0.950000,15.000000,4.000000,15.496858,3.000000,0.690615,0.481259,5.000000,0.637465,0.000000,5.000000,232.884556,40.000000,0.726317,20.000000,0.002000,5.000000,0.100000,0.345748,10.000000,0.500000,2.512861,0.005000
73,54.188755,0.005000,0.076691,0.050463,0.013818,0.076136,0.800000,0.600000,0.200000,0.500000,0.890320,2.000000,4.000000,6.000000,3.000000,0.670877,0.200000,30.000000,1.000000,135.833878,0.500000,200.000000,200.000000,1.231363,121.836816,0.034609,4.693848,0.100000,0.396368,10.000000,0.500000,2.101550,0.005000
74,14.279344,0.005000,0.132643,0.020000,0.015978,0.010000,0.400000,0.600000,0.200000,0.500000,0.500000,4.514490,4.000000,6.000000,2.306507,0.700000,0.500000,5.000000,0.065969,183.632359,5.000000,600.000000,40.000000,0.500000,210.765068,0.002000,5.000000,0.100000,2.000000,35.202436,0.500000,4.000000,0.005000
75,55.259639,0.005296,0.250000,0.041180,0.020000,0.053809,0.600369,1.000000,0.200000,0.600155,0.771739,2.000000,4.000000,20.000000,3.000000,0.700000,0.500000,30.000000,1.000000,0.000000,5.000000,200.000000,200.000000,0.556522,300.000000,0.050000,0.500000,1.699420,1.389469,10.000000,0.500000,1.000000,0.150000
76,55.502410,0.047121,0.071848,0.020000,0.020000,0.027119,0.716991,0.996359,2.547986,0.500000,0.500000,15.000000,19.190660,20.000000,3.000000,0.485494,0.200000,5.000000,0.000000,230.890398,0.500000,600.000000,186.165507,0.500000,20.000000,0.036864,5.000000,2.400610,2.000000,10.000000,5.000000,4.000000,0.005000
77,53.993976,0.005000,0.250000,0.064230,0.020000,0.031727,0.536652,1.000000,3.000000,0.798931,0.500000,9.198925,6.949029,6.000000,3.000000,0.630131,0.500000,13.335397,1.000000,0.000000,0.500000,600.000000,40.000000,0.500000,66.345018,0.050000,5.000000,2.811200,1.760651,10.000000,0.500000,2.561861,0.150000
78,58.793373,0.005000,0.212887,0.020000,0.002000,0.033974,0.741727,1.000000,0.200000,0.939049,0.950000,2.464827,4.000000,6.000000,0.432191,0.700000,0.407603,30.000000,0.434232,0.000000,0.500000,515.680888,40.000000,0.500000,20.000000,0.004801,0.500000,0.100000,2.000000,10.000000,0.500000,4.000000,0.059299
79,59.701593,0.005000,0.250000,0.067295,0.019123,0.030190,0.691799,0.993117,2.107848,0.950000,0.950000,4.331814,6.699098,20.000000,0.000000,0.400000,0.500000,27.612434,0.130023,0.000000,5.000000,516.866829,133.385857,1.463649,20.000000,0.011165,5.000000,1.858958,1.489563,100.000000,0.500000,1.000000,0.005000
80,54.472326,0.005000,0.050000,0.093426,0.020000,0.074771,0.800000,1.000000,2.128842,0.559244,0.500000,15.000000,4.000000,18.354998,3.000000,0.700000,0.350275,29.259661,1.000000,51.998238,5.000000,200.000000,111.156317,0.500000,264.496170,0.002000,4.511321,1.885103,0.300000,100.000000,0.500000,1.000000,0.005000
